,Game,Platform,Gener,Publisher,North_America,Europe,Japan,Rest_of _World,Global,Good_Sale,Count_Games
563,Away: Shuffle Dungeon,DS,Role-Playing,Majesco Entertainment,0.02,0.0,0.0,0.0,0.03,0,81
564,Azada,3DS,Puzzle,Licensed 4U,0.0,0.02,0.0,0.0,0.02,0,2
565,Azure Dreams,PS,Role-Playing,Konami Digital Entertainment,0.07,0.05,0.0,0.01,0.13,0,637
566,Azure Striker Gunvolt,3DS,Action,Yacht Club Games,0.01,0.0,0.0,0.0,0.01,0,2
567,Azure Striker Gunvolt: Striker Pack,3DS,Action,Inti Creates,0.0,0.0,0.01,0.0,0.01,0,1
568,Azurik: Rise of Perathia,XB,Action,Microsoft Game Studios,0.18,0.05,0.0,0.01,0.24,0,178
569,B's-LOG Party♪,PSP,Adventure,Idea Factory,0.0,0.0,0.04,0.0,0.04,0,131
570,B-17: Fortress in the Sky,DS,Simulation,DSI Games,0.02,0.0,0.0,0.0,0.02,0,5
571,B-Boy,PSP,Misc,Sony Computer Entertainment,0.04,0.0,0.0,0.0,0.05,0,617
572,"BCFX: The Black College Football Xperience, The Doug Williams Edition",X360,Sports,Aspyr,0.15,0.0,0.0,0.01,0.16,0,5
573,BIT.TRIP COMPLETE,Wii,Misc,Rising Star Games,0.06,0.02,0.0,0.01,0.09,0,81
574,BIT.TRIP SAGA,3DS,Misc,Rising Star Games,0.09,0.04,0.0,0.01,0.14,0,81
575,BMX XXX,PS2,Sports,Acclaim Entertainment,0.2,0.09,0.0,0.02,0.32,0,114
576,BRAHMA Force: The Assault on Beltlogger 9,PS,Shooter,JVC,0.02,0.01,0.0,0.0,0.03,0,8
577,Baby Pals,DS,Simulation,THQ,0.26,0.01,0.0,0.02,0.28,0,394
578,Babysitting Mama,Wii,Simulation,505 Games,0.33,0.12,0.0,0.04,0.49,0,143
579,Babysitting Mania,DS,Simulation,Majesco Entertainment,0.24,0.0,0.0,0.02,0.26,0,81
580,Back At The Barnyard: Slop Bucket Games,DS,Sports,THQ,0.12,0.0,0.0,0.01,0.13,0,394
581,Back to the Future: The Game,PS4,Adventure,Telltale Games,0.24000000000000002,0.08,0.0,0.04,0.36,1,6
582,Backbreaker,X360,Sports,Unknown,0.33,0.0,0.0,0.02,0.35,0,148
583,Backstreet Billiards,PS,Misc,ASCII Entertainment,0.19,0.13,0.0,0.02,0.34,1,19
584,Backyard Baseball,PS2,Sports,Atari,0.65,0.33,0.0,0.06999999999999999,1.05,0,277
585,Backyard Baseball '09,DS,Sports,Atari,0.16,0.01,0.0,0.01,0.18,0,277
586,Backyard Baseball '10,PS2,Sports,Atari,0.28,0.07,0.0,0.04,0.39,0,277
587,Backyard Baseball 2006,GBA,Sports,Atari,0.25,0.09,0.0,0.01,0.35,0,277
588,Backyard Basketball,GBA,Sports,Atari,0.13,0.05,0.0,0.0,0.18,0,277
589,Backyard Hockey,GBA,Sports,Atari,0.2,0.05,0.0,0.0,0.26,0,277
590,Backyard NBA Basketball,PS2,Sports,Atari,0.36,0.22,0.0,0.08,0.6699999999999999,0,277
591,Backyard NFL Football,GBA,Sports,Infogrames,0.64,0.2,0.0,0.02,0.8700000000000001,1,47
592,Backyard NFL Football '08,PS2,Sports,Atari,0.03,0.02,0.0,0.01,0.06,0,277
593,Backyard NFL Football '09,Wii,Sports,Atari,0.34,0.07,0.0,0.05,0.45,0,277
594,Backyard NFL Football '10,Wii,Sports,Atari,0.29000000000000004,0.02,0.0,0.03,0.34,0,277
595,Backyard NFL Football 2006,PS2,Sports,Atari,0.12000000000000001,0.09,0.0,0.03,0.23,0,277
596,Backyard Skateboarding 2006,GBA,Sports,Atari,0.04,0.02,0.0,0.0,0.06,0,277
597,Backyard Soccer,PS,Sports,Infogrames,0.07,0.05,0.0,0.01,0.13,0,47
598,Backyard Sports Football: Rookie Rush,DS,Sports,Atari,0.38,0.0,0.0,0.03,0.41000000000000003,0,277
599,Backyard Sports: Sandlot Sluggers,Wii,Sports,Atari,0.36,0.0,0.0,0.03,0.38,0,277
600,Backyard Wrestling 2: There Goes the Neighborhood,PS2,Fighting,Eidos Interactive,0.23,0.14,0.0,0.04,0.4,0,121
601,Backyard Wrestling: Don't Try This at Home,PS2,Fighting,Eidos Interactive,0.43,0.27,0.0,0.09,0.77,0,121
602,Bad Apple Wars,PSV,Action,Idea Factory,0.0,0.0,0.03,0.0,0.03,0,131
603,Bad Boys: Miami Takedown,PS2,Shooter,Empire Interactive,0.7300000000000001,0.49,0.0,0.16,1.38,2,35
604,Bae Yong-joon to Manabu Kankokugo DS,DS,Misc,D3Publisher,0.0,0.0,0.03,0.0,0.03,0,131
605,Bahamut Lagoon,SNES,Role-Playing,SquareSoft,0.0,0.0,0.62,0.0,0.62,1,46
606,Baja: Edge of Control,PS3,Racing,THQ,0.22,0.14,0.0,0.05,0.41000000000000003,0,394
607,Bakemonogatari Portable,PSP,Action,Namco Bandai Games,0.0,0.0,0.05,0.0,0.05,0,765
608,Baku Baku,SAT,Puzzle,Sega,0.0,0.0,0.05,0.0,0.05,0,469
609,Bakugan Battle Brawlers: Defenders of the Core,DS,Action,Activision,0.89,0.09,0.02,0.09999999999999999,1.1099999999999999,0,401
610,Bakugan: Battle Brawlers,DS,Action,Activision,2.45,0.26,0.0,0.24000000000000002,2.94,1,401
611,Bakugan: Battle Trainer,DS,Action,Activision,0.12,0.0,0.0,0.01,0.13,0,401
612,Bakugan: Rise of the Resistance,DS,Strategy,Activision,0.05,0.02,0.0,0.01,0.08,0,401
613,Bakumatsu Koihana: Shinsengumi DS,DS,Adventure,D3Publisher,0.0,0.0,0.01,0.0,0.01,0,131
614,Bakumatsu Renka: Karyuu Kenshi-den,PS2,Adventure,D3Publisher,0.0,0.0,0.02,0.0,0.02,0,131
615,Bakumatsu Rock,PSP,Action,Marvelous Entertainment,0.0,0.0,0.01,0.0,0.01,0,11
616,Bakumatsu Rock: Ultra Soul,PSV,Misc,Marvelous Interactive,0.0,0.0,0.03,0.0,0.03,0,51
617,Bakusou Dekotora Densetsu: Otoko Ippiki Yume Kaidoi,PS,Racing,Human Entertainment,0.0,0.0,0.36,0.03,0.38,1,13
618,Bakusou Kyoudai Let's & Go!! Eternal Wings,PS,Racing,Jaleco,0.0,0.0,0.05,0.0,0.05,0,19
619,Baldur's Gate: Dark Alliance,PS2,Role-Playing,Virgin Interactive,0.89,0.5599999999999999,0.0,0.17,1.61,1,52
620,Baldur's Gate: Dark Alliance II,PS2,Role-Playing,Interplay,0.53,0.32,0.0,0.09999999999999999,0.9400000000000001,1,30
621,Ball Breakers,PS,Action,Take-Two Interactive,0.1,0.07,0.0,0.01,0.18,0,194
622,Ballblazer Champions,PS,Sports,CTO SpA,0.01,0.01,0.0,0.0,0.02,0,2
623,Ballistic,PS,Puzzle,Atari,0.02,0.01,0.0,0.0,0.04,0,277
624,Ballistic: Ecks vs. Sever,GBA,Shooter,BAM! Entertainment,0.07,0.03,0.0,0.0,0.1,0,23
625,Balloon Fight,NES,Platform,Nintendo,0.39,0.09,0.43,0.01,0.92,0,665
626,Balloon Pop,DS,Puzzle,UFO Interactive,0.17,0.0,0.0,0.01,0.19,0,14
627,Balloon Pop 2,3DS,Puzzle,UFO Interactive,0.01,0.0,0.0,0.0,0.01,0,14
628,Balls of Fury,Wii,Sports,Zoo Digital Publishing,0.04,0.0,0.0,0.0,0.04,0,73
629,Band Hero,Wii,Misc,Activision,1.8599999999999999,0.98,0.0,0.51,3.34,2,401
630,Bangai-O Spirits,DS,Shooter,D3Publisher,0.07,0.0,0.0,0.01,0.08,0,131
631,Banjo-Kazooie,N64,Platform,Nintendo,1.87,1.14,0.55,0.1,3.6599999999999997,2,665
632,Banjo-Kazooie: Grunty's Revenge,GBA,Platform,THQ,0.24,0.09,0.0,0.01,0.33,0,394
633,Banjo-Kazooie: Nuts & Bolts,X360,Platform,Microsoft Game Studios,0.32,0.35,0.0,0.08,0.76,0,178
634,Banjo-Pilot,GBA,Racing,THQ,0.07,0.03,0.0,0.0,0.1,0,394
635,Banjo-Tooie,N64,Platform,Nintendo,0.82,0.36,0.25,0.06,1.49,0,665
636,Bank Heist,2600,Action,20th Century Fox Video Games,0.32,0.02,0.0,0.0,0.34,1,5
637,Banushi Life Game: Winner's Circle,DS,Sports,Genki,0.0,0.0,0.04,0.0,0.04,0,8
638,Barbarian,PS2,Fighting,Titus,0.07,0.06,0.0,0.02,0.14,0,18
639,Barbie Explorer,PS,Platform,Unknown,0.08,0.05,0.0,0.01,0.14,0,148
640,Barbie Fashion Show: An Eye for Style,DS,Misc,Activision,0.18,0.0,0.0,0.01,0.19,0,401
641,Barbie Groovy Games,GBA,Misc,Universal Interactive,0.4,0.15,0.0,0.01,0.56,1,14
642,Barbie Horse Adventures: Blue Ribbon Race,GBA,Sports,Knowledge Adventure,0.26,0.1,0.0,0.01,0.37,1,4
643,Barbie Horse Adventures: Riding Camp,DS,Sports,Activision,0.76,0.07,0.0,0.07,0.93,0,401
644,Barbie Horse Adventures: Wild Horse Rescue,PS2,Sports,Universal Interactive,0.29,0.2,0.0,0.06,0.55,1,14
645,Barbie Super Sports,PS,Sports,Mattel Interactive,0.12,0.08,0.0,0.01,0.22,0,12
646,Barbie Superpack: Secret Agent / Groovy Games,GBA,Misc,Vivendi Games,0.1,0.04,0.0,0.0,0.15,0,86
647,Barbie and Her Sisters Puppy Rescue,3DS,Action,Namco Bandai Games,0.0,0.06999999999999999,0.0,0.0,0.06999999999999999,0,765
648,Barbie and the Magic of Pegasus,GBA,Action,Vivendi Games,0.07,0.02,0.0,0.0,0.09,0,86
649,Barbie and the Three Musketeers,Wii,Adventure,Activision,0.32999999999999996,0.0,0.0,0.03,0.36,0,401
650,Barbie as The Island Princess,Wii,Adventure,Activision,0.92,0.11,0.0,0.07,1.11,0,401
651,Barbie as the Princess and the Pauper,GBA,Adventure,Vivendi Games,0.01,0.0,0.0,0.0,0.02,0,86
652,Barbie in The 12 Dancing Princesses,DS,Adventure,Activision,0.09,0.01,0.0,0.01,0.1,0,401
653,Barbie: Groom and Glam Pups,DS,Action,THQ,0.43,0.16,0.0,0.05,0.64,0,394
654,"Barbie: Jet, Set & Style!",DS,Misc,THQ,0.56,0.060000000000000005,0.0,0.05,0.6699999999999999,0,394
655,Barbie: Race & Ride,PS,Action,Sony Computer Entertainment,0.33,0.22,0.0,0.04,0.59,0,617
656,Barnstorming,2600,Action,Activision,0.4,0.02,0.0,0.0,0.43,0,401
657,Barnyard,GC,Action,THQ,0.21,0.07,0.0,0.01,0.3,0,394
658,Barnyard Blast: Swine of the Night,DS,Platform,Big Ben Interactive,0.02,0.0,0.0,0.0,0.02,0,6
659,Baroque,PS2,Role-Playing,Rising Star Games,0.12000000000000001,0.04,0.02,0.02,0.2,0,81
660,Baseball,NES,Sports,Nintendo,1.3900000000000001,0.37,3.0,0.05,4.8100000000000005,2,665
661,Baseball Advance,GBA,Sports,Sega,0.1,0.04,0.0,0.0,0.13,0,469
662,Baseball Blast!,Wii,Sports,Take-Two Interactive,0.14,0.0,0.0,0.01,0.15,0,194
663,Bases Loaded '96: Double Header,PS,Sports,Jaleco,0.28,0.19,0.0,0.03,0.5,1,19
664,Basketball Hall of Fame Ultimate Hoops Challenge,Wii,Sports,Zoo Games,0.06,0.0,0.0,0.0,0.07,0,26
665,Bass Hunter 64,N64,Sports,Take-Two Interactive,0.25,0.06,0.0,0.0,0.31,0,194
666,Bass Landing,PS,Sports,ASCII Entertainment,0.21,0.14,0.23,0.04,0.62,1,19
667,Bass Pro Shops: The Hunt,Wii,Sports,XS Games,0.29,0.0,0.0,0.02,0.32,1,8
668,Bass Pro Shops: The Strike,Wii,Sports,XS Games,0.64,0.0,0.0,0.05,0.69,1,8
669,Bass Rise,PS,Sports,Namco Bandai Games,0.03,0.02,0.0,0.0,0.05,0,765
670,Bass Strike,PS2,Sports,THQ,0.14,0.11,0.0,0.04,0.28,0,394
671,Bassmasters 2000,N64,Sports,THQ,0.11,0.03,0.0,0.0,0.14,0,394
672,Bastard!! Utsuro Naru Kamigami no Utsuwa,PS,Role-Playing,Seta Corporation,0.0,0.0,0.2,0.01,0.21,0,6
673,Baten Kaitos Origins,GC,Role-Playing,Unknown,0.06,0.02,0.02,0.0,0.1,0,148
674,Baten Kaitos: Eternal Wings and the Lost Ocean,GC,Role-Playing,Nintendo,0.21,0.05,0.0,0.01,0.27,0,665
675,Batman & Robin,PS,Action,Acclaim Entertainment,0.06,0.04,0.0,0.01,0.11,0,114
676,Batman Begins,PS2,Action,Electronic Arts,0.66,0.33,0.0,0.08,1.09,0,598
677,Batman Beyond: Return of the Joker,PS,Action,Ubisoft,0.16,0.08,0.0,0.01,0.26,0,564
678,Batman Forever: The Arcade Game,PS,Action,Acclaim Entertainment,0.02,0.01,0.0,0.0,0.03,0,114
679,Batman: A Telltale Game Series,PS4,Adventure,Telltale Games,0.07,0.12000000000000001,0.0,0.02,0.2,0,6
680,Batman: Arkham Asylum,PS3,Action,Eidos Interactive,4.44,2.54,0.09000000000000001,0.97,8.030000000000001,2,121
681,Batman: Arkham City,PS3,Action,Warner Bros. Interactive Entertainment,6.0200000000000005,3.58,0.15,1.35,11.100000000000001,2,75
682,Batman: Arkham Knight,PS4,Action,Warner Bros. Interactive Entertainment,2.5,2.19,0.1,0.79,5.57,2,75
683,Batman: Arkham Origins,PS3,Action,Warner Bros. Interactive Entertainment,2.54,1.61,0.04,0.6,4.79,2,75
684,Batman: Arkham Origins Blackgate,PSV,Action,Warner Bros. Interactive Entertainment,0.32,0.26,0.0,0.12000000000000001,0.69,0,75
685,Batman: Arkham VR,PS4,Action,Warner Bros. Interactive Entertainment,0.25,0.0,0.0,0.06,0.3,0,75
686,Batman: Dark Tomorrow,XB,Action,Kemco,0.14,0.04,0.0,0.0,0.19,0,15
687,Batman: Gotham City Racer,PS,Racing,Ubisoft,0.03,0.02,0.0,0.0,0.05,0,564
688,Batman: Return to Arkham,PS4,Action,Warner Bros. Interactive Entertainment,0.12000000000000001,0.21000000000000002,0.0,0.05,0.37,0,75
689,Batman: Rise of Sin Tzu,PS2,Action,Ubisoft,0.35000000000000003,0.18,0.0,0.05,0.59,0,564
690,Batman: The Brave and the Bold the Videogame,DS,Action,Warner Bros. Interactive Entertainment,0.43000000000000005,0.09,0.0,0.04,0.5700000000000001,0,75
691,Batman: Vengeance,PS2,Adventure,Ubisoft,0.6000000000000001,0.31,0.0,0.08,0.99,0,564
692,Battalion Wars,GC,Strategy,Nintendo,0.25,0.07,0.07,0.01,0.4,0,665
693,Battalion Wars 2,Wii,Strategy,Nintendo,0.22,0.02,0.08,0.02,0.34,0,665
694,Battle & Get! Pokemon Typing DS,DS,Misc,Nintendo,0.0,0.0,0.29,0.0,0.29,0,665
695,Battle Arena Toshinden,PS,Fighting,Sony Computer Entertainment,0.39,0.26,0.53,0.08,1.27,0,617
696,Battle Arena Toshinden 2,PS,Fighting,Sony Computer Entertainment,0.15,0.1,0.41,0.05,0.71,0,617
697,Battle Arena Toshinden 3,PS,Fighting,Sony Computer Entertainment,0.06,0.04,0.14,0.02,0.27,0,617
698,Battle Arena Toshinden Remix,SAT,Fighting,Sega,0.0,0.0,0.12,0.0,0.12,0,469
699,Battle Arena Toshinden URA,SAT,Fighting,Sega,0.0,0.0,0.03,0.0,0.03,0,469
700,Battle Assault 3 featuring Gundam Seed,PS2,Action,Namco Bandai Games,0.02,0.01,0.0,0.0,0.03,0,765
701,Battle Commander: Hachibushu Shura no Heihou,SNES,Strategy,Banpresto,0.0,0.0,0.18,0.0,0.18,0,71
702,Battle Dodge Ball,SNES,Sports,Banpresto,0.0,0.0,0.33,0.0,0.33,0,71
703,Battle Engine Aquila,PS2,Shooter,Atari,0.03,0.01,0.0,0.0,0.05,0,277
704,Battle Fantasia,X360,Fighting,505 Games,0.07,0.0,0.01,0.01,0.09,0,143
705,Battle Hunter,PS,Strategy,Midas Interactive Entertainment,0.02,0.01,0.0,0.0,0.04,0,22
706,Battle Princess of Arcadias,PS3,Role-Playing,Nippon Ichi Software,0.0,0.0,0.02,0.0,0.02,0,86
707,Battle Rage,Wii,Shooter,Popcorn Arcade,0.04,0.0,0.0,0.0,0.04,0,9
708,Battle Soccer: Field no Hasha,SNES,Sports,Banpresto,0.0,0.0,0.16,0.0,0.16,0,71
709,Battle Spirits: Digital Starter,DS,Role-Playing,Namco Bandai Games,0.0,0.0,0.04,0.0,0.04,0,765
710,Battle Spirits: Hero's Soul,PSP,Role-Playing,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,0,765
711,Battle Spirits: Kiseki no Hasha,PSP,Role-Playing,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02,0,765
712,Battle Stadium D.O.N,PS2,Fighting,Namco Bandai Games,0.0,0.0,0.24,0.0,0.24,0,765
713,Battle Stations,PS,Strategy,Electronic Arts,0.43,0.29,0.0,0.05,0.78,0,598
714,Battle Worlds: Kronos,PC,Strategy,Nordic Games,0.0,0.01,0.0,0.0,0.01,0,25
715,Battle of Giants: Dinosaurs,DS,Strategy,Ubisoft,0.37,0.35,0.0,0.09,0.81,0,564
716,Battle of Giants: Dinosaurs Strike,Wii,Strategy,Ubisoft,0.14,0.03,0.0,0.01,0.18,0,564
717,Battle of Giants: Dragons,DS,Strategy,Ubisoft,0.3,0.25,0.0,0.06,0.62,0,564
718,Battle of Giants: Mutant Insects,DS,Strategy,Ubisoft,0.09,0.14,0.0,0.03,0.26,0,564
719,Battle vs. Chess,PS3,Misc,TopWare Interactive,0.0,0.07,0.0,0.01,0.1,0,2
720,BattleBots: Beyond the BattleBox,GBA,Action,Vivendi Games,0.04,0.01,0.0,0.0,0.06,0,86
721,BattleForge,PC,Strategy,Electronic Arts,0.0,0.01,0.0,0.0,0.01,0,598
722,BattleTanx,N64,Action,3DO,0.26,0.06,0.0,0.0,0.33,1,30
723,BattleTanx: Global Assault,N64,Action,3DO,0.31,0.07,0.0,0.0,0.39,1,30
724,Battleborn,PS4,Shooter,Take-Two Interactive,0.26,0.16,0.02,0.06,0.49,0,194
725,Battlebots: Design & Destroy,GBA,Action,Majesco Entertainment,0.31,0.12,0.0,0.01,0.44,0,81
726,Battlefield 1,PS4,Shooter,Electronic Arts,2.49,3.16,0.21,0.84,6.71,2,598
727,Battlefield 1942,PC,Shooter,Electronic Arts,0.01,0.01,0.0,0.0,0.03,0,598
728,Battlefield 1942: The WW II Anthology,PC,Shooter,Electronic Arts,0.01,0.01,0.0,0.0,0.03,0,598
729,Battlefield 2,PC,Shooter,Electronic Arts,0.0,0.07,0.0,0.01,0.08,0,598
730,Battlefield 2142,PC,Shooter,Electronic Arts,0.0,0.02,0.0,0.0,0.03,0,598
731,Battlefield 2: Modern Combat,XB,Shooter,Electronic Arts,1.1099999999999999,0.18,0.01,0.11,1.4100000000000001,0,598
732,Battlefield 2: Modern Combat(JP sales),PS2,Shooter,Electronic Arts,0.0,0.0,0.02,0.0,0.02,0,598
733,Battlefield 3,X360,Shooter,Electronic Arts,8.2,6.43,0.41,2.23,17.27,2,598
734,Battlefield 4,PS4,Shooter,Electronic Arts,6.4399999999999995,5.43,0.4600000000000001,1.61,13.93,2,598
735,Battlefield Vietnam,PC,Shooter,Electronic Arts,0.0,0.02,0.0,0.0,0.03,0,598
736,Battlefield: Bad Company,X360,Shooter,Electronic Arts,1.57,0.81,0.09,0.32999999999999996,2.8,1,598
737,Battlefield: Bad Company 2,X360,Shooter,Electronic Arts,3.62,2.64,0.12000000000000001,0.76,7.140000000000001,2,598
738,Battlefield: Hardline,PS4,Shooter,Electronic Arts,1.73,1.68,0.22000000000000003,0.53,4.14,2,598
739,Battles of Prince of Persia,DS,Strategy,Ubisoft,0.1,0.01,0.0,0.01,0.12,0,564
740,Battleship / Connect Four / Sorry! / Trouble,DS,Puzzle,"Destination Software, Inc",0.04,0.0,0.0,0.0,0.05,0,10
741,Battlestar Galactica,PS2,Shooter,Vivendi Games,0.14,0.08,0.0,0.02,0.24,0,86
742,Battlestations: Midway,X360,Strategy,Eidos Interactive,0.21,0.03,0.0,0.02,0.27,0,121
743,Battlestations: Pacific,X360,Strategy,Eidos Interactive,0.17,0.13,0.01,0.03,0.35,0,121
744,Battlezone,2600,Shooter,Atari,0.62,0.05,0.0,0.02,0.69,0,277
745,Battlezone: Rise of the Black Dogs,N64,Strategy,Crave Entertainment,0.06,0.01,0.0,0.0,0.07,0,36
746,Bayonetta,PS3,Action,Sega,0.95,0.64,0.3,0.24,2.14,1,469
747,Bayonetta 2,WiiU,Action,Nintendo,0.32,0.28,0.1,0.06,0.76,0,665
748,Beach Spikers: Virtua Beach Volleyball,GC,Sports,Sega,0.08,0.02,0.0,0.0,0.1,0,469
749,Beamrider,2600,Racing,Activision,0.26,0.01,0.0,0.0,0.27,0,401
750,Beastly,Wii,Misc,Unknown,0.03,0.0,0.0,0.0,0.03,0,148
751,Beastly Frantic Foto,DS,Puzzle,Storm City Games,0.04,0.0,0.0,0.0,0.04,0,16
752,Beat City,DS,Misc,THQ,0.06,0.0,0.0,0.0,0.07,0,394
753,Beat Down: Fists of Vengeance,PS2,Action,Capcom,0.04,0.03,0.09,0.01,0.17,0,266
754,Beat Sketch!,PS3,Misc,Sony Computer Entertainment,0.0,0.0,0.08,0.0,0.08,0,617
755,BeatMania,PS,Simulation,Konami Digital Entertainment,0.03,0.03,1.07,0.03,1.1600000000000001,0,637
756,BeatMania Append 3rdMix,PS,Simulation,Konami Digital Entertainment,0.0,0.0,0.56,0.04,0.6,0,637
757,BeatMania Append 4thMix: The beat goes on,PS,Simulation,Konami Digital Entertainment,0.0,0.0,0.27,0.02,0.29,0,637
758,BeatMania Append GottaMix,PS,Simulation,Konami Digital Entertainment,0.0,0.0,0.31,0.02,0.33,0,637
759,BeatMania IIDX 11: IIDX Red,PS2,Simulation,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02,0,637
760,BeatMania IIDX 13: DistorteD,PS2,Simulation,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,0,637
761,BeatMania IIDX 14 Gold,PS2,Simulation,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,0,637
762,BeatMania IIDX 15: DJ Troopers,PS2,Simulation,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,0,637
763,BeatMania IIDX 16: Empress + Premium Best,PS2,Simulation,Konami Digital Entertainment,0.0,0.0,0.04,0.0,0.04,0,637
764,BeatMania IIDX 3rd Style,PS2,Simulation,Konami Digital Entertainment,0.0,0.0,0.05,0.0,0.05,0,637
765,BeatMania IIDX 4th Style: New Songs Collection,PS2,Simulation,Konami Digital Entertainment,0.0,0.0,0.05,0.0,0.05,0,637
766,Beatdown: Fists of Vengeance,XB,Action,Capcom,0.03,0.01,0.0,0.0,0.04,0,266
767,Beaterator,PSP,Misc,Take-Two Interactive,0.06,0.02,0.0,0.02,0.09,0,194
768,Beautiful Katamari,X360,Puzzle,Namco Bandai Games,0.14,0.02,0.15,0.02,0.32,0,765
769,Bee Movie Game,DS,Action,Activision,0.9199999999999999,0.05,0.0,0.08,1.05,0,401
770,Beetle Adventure Racing!,N64,Racing,Electronic Arts,0.4,0.2,0.0,0.02,0.62,0,598
771,Beijing 2008,PS3,Sports,Sega,0.29000000000000004,0.92,0.01,0.25,1.45,0,469
772,Bejeweled 2 Deluxe,PC,Puzzle,Focus Home Interactive,0.0,0.02,0.0,0.0,0.02,0,40
773,Bejeweled 3,DS,Puzzle,Unknown,0.57,0.07,0.0,0.06,0.6900000000000001,0,148
774,Bejeweled Blitz,PC,Puzzle,Mastertronic,0.0,0.01,0.0,0.0,0.02,0,12
775,Bejeweled Twist,DS,Puzzle,PopCap Games,0.01,0.12,0.0,0.02,0.15000000000000002,0,10
776,Bella Sara,DS,Misc,Codemasters,0.04,0.03,0.0,0.01,0.08,0,75
777,Bella Sara 2 - The Magic of Drasilmare,3DS,Adventure,Big Ben Interactive,0.0,0.02,0.0,0.0,0.02,0,6
778,Ben 10 Alien Force: Vilgax Attacks,Wii,Action,D3Publisher,0.8200000000000001,0.61,0.0,0.36,1.79,1,131
779,Ben 10 Galactic Racing,3DS,Racing,D3Publisher,0.39,0.18,0.0,0.06,0.62,0,131
780,Ben 10 Omniverse 2,3DS,Action,Namco Bandai Games,0.0,0.03,0.0,0.0,0.03,0,765
781,Ben 10 Triple Pack,DS,Misc,D3Publisher,0.12,0.11,0.0,0.02,0.25,0,131
782,Ben 10 Ultimate Alien: Cosmic Destruction,DS,Platform,D3Publisher,0.8400000000000001,0.45999999999999996,0.0,0.2,1.48,1,131
783,Ben 10: Alien Force,DS,Action,Koch Media,1.74,0.58,0.0,0.5900000000000001,2.91,2,9
784,Ben 10: Protector of Earth,DS,Action,D3Publisher,1.54,1.67,0.0,1.24,4.4799999999999995,2,131
785,Beowulf: The Game,X360,Action,Ubisoft,0.58,0.02,0.0,0.05,0.65,0,564
786,Berserk and the Band of the Hawk,PS4,Action,Tecmo Koei,0.0,0.0,0.06,0.0,0.06,0,249
787,Berzerk,2600,Shooter,Atari,0.68,0.04,0.0,0.01,0.73,0,277
788,Best Friends Tonight,DS,Misc,Ubisoft,0.03,0.0,0.0,0.0,0.03,0,564
789,Best Of Tests,DS,Puzzle,Conspiracy Entertainment,0.01,0.0,0.0,0.0,0.01,0,12
790,Betty Boop's Double Shift,DS,Puzzle,Zoo Digital Publishing,0.03,0.0,0.0,0.0,0.03,0,73
791,BeyBlade VForce: Super Tournament Battle,GC,Action,Atari,0.16,0.04,0.0,0.01,0.21,0,277
792,Beyblade Evolution,3DS,Action,Rising Star Games,0.02,0.01,0.0,0.0,0.04,0,81
793,Beyblade G-Revolution,GBA,Action,Atari,0.15,0.05,0.0,0.0,0.2,0,277
794,Beyblade VForce: Ultimate Blader Jam,GBA,Action,Atari,0.52,0.19,0.0,0.01,0.73,0,277
795,Beyblade: Metal Fusion,DS,Role-Playing,Hudson Soft,0.07,0.03,0.14,0.01,0.25,0,76
796,Beyblade: Metal Fusion - Battle Fortress,Wii,Action,Konami Digital Entertainment,0.15,0.0,0.03,0.01,0.19,0,637
797,Beyblade: Metal Masters,DS,Action,Konami Digital Entertainment,0.14,0.09,0.0,0.03,0.27,0,637
798,Beyond Good & Evil,PS2,Adventure,Ubisoft,0.3,0.16,0.0,0.04,0.5,0,564
799,Beyond Oasis,GEN,Role-Playing,Sega,0.0,0.0,0.05,0.0,0.05,0,469
800,Beyond The Beyond,PS,Role-Playing,Sony Computer Entertainment,0.11,0.08,0.35,0.04,0.57,0,617
801,Beyond the Labyrinth,3DS,Role-Playing,Unknown,0.0,0.0,0.03,0.0,0.03,0,148
802,Beyond: Two Souls,PS3,Adventure,Sony Computer Entertainment,0.52,0.8,0.06,0.26,1.63,0,617
803,Bicycle Casino 2005,XB,Misc,Zoo Digital Publishing,0.17,0.05,0.0,0.01,0.23,0,73
804,Big Air,PS,Sports,Accolade,0.1,0.07,0.0,0.01,0.19,0,3
805,Big Air Freestyle,GC,Racing,Atari,0.04,0.01,0.0,0.0,0.05,0,277
806,Big Bang Mini,DS,Shooter,SouthPeak Games,0.05,0.0,0.0,0.0,0.06,0,30
807,Big Bass Fishing,PS,Action,Take-Two Interactive,0.0,0.0,0.02,0.0,0.02,0,194
808,Big Bass World Championship,PS,Sports,Starfish,0.2,0.14,0.0,0.02,0.36,1,10
809,Big Beach Sports,Wii,Sports,THQ,0.45,1.02,0.0,0.2,1.66,0,394
810,Big Beach Sports 2,Wii,Sports,THQ,0.09,0.11,0.0,0.02,0.23,0,394
811,Big Brain Academy,DS,Misc,Nintendo,1.66,2.75,1.6,0.62,6.62,2,665
812,Big Brain Academy: Wii Degree,Wii,Misc,Nintendo,1.05,1.91,0.41,0.42,3.79,2,665
