,Game,Platform,Gener,Publisher,North_America,Europe,Japan,Rest_of _World,Global,Good_Sale,Count_Games
11149,World Destruction League: Thunder Tanks,PS2,Action,3DO,0.16999999999999998,0.13,0.0,0.03,0.34,1,30
11150,World Driver Championship,N64,Racing,Midway Games,0.14,0.03,0.0,0.0,0.17,0,101
11151,World Fantasista,PS2,Sports,SquareSoft,0.0,0.0,0.05,0.0,0.05,0,46
11152,World Heroes Anthology,PS2,Fighting,Ignition Entertainment,0.0,0.0,0.01,0.0,0.01,0,48
11153,World League Soccer,SNES,Sports,Imagineer,0.0,0.0,0.15,0.0,0.15,0,16
11154,World Neverland 2in1 Portable: Olerud Kingdom & Republic of Pluto,PSP,Simulation,fonfun,0.0,0.0,0.02,0.0,0.02,0,1
11155,World Party Games,Wii,Misc,505 Games,0.07,0.0,0.0,0.01,0.07,0,143
11156,World Poker Tour,PS2,Misc,Take-Two Interactive,0.2,0.09,0.0,0.03,0.32,0,194
11157,World Racing,XB,Racing,TDK Mediactive,0.05,0.01,0.0,0.0,0.07,0,26
11158,World Series Baseball,XB,Sports,Sega,0.17,0.05,0.04,0.01,0.27,0,469
11159,World Series Baseball 2K3,PS2,Sports,Sega,0.22999999999999998,0.13,0.0,0.04,0.4,0,469
11160,World Series of Poker,PS2,Misc,Activision,0.81,0.07,0.0,0.09,0.98,0,401
11161,World Series of Poker 2008: Battle for the Bracelets,PS2,Misc,Activision,0.32,0.11,0.0,0.05,0.49,0,401
11162,World Series of Poker: Tournament of Champions 2007 Edition,X360,Misc,Activision,0.31,0.01,0.0,0.02,0.34,0,401
11163,World Snooker Championship 2007,PS3,Sports,Sega,0.0,0.11,0.0,0.0,0.11,0,469
11164,World Soccer Jikkyou Winning Eleven 2000: U-23 Medal heno Chousen,PS,Sports,Konami Digital Entertainment,0.0,0.0,0.39,0.03,0.41,0,637
11165,World Soccer Jikkyou Winning Eleven 3: World Cup France '98,PS,Sports,Konami Digital Entertainment,0.0,0.0,0.75,0.05,0.81,0,637
11166,World Soccer Winning Eleven 2002,PS,Sports,Konami Digital Entertainment,0.0,0.0,0.12,0.01,0.13,0,637
11167,World Soccer Winning Eleven 2010: Aoki Samurai no Chousen,PS3,Sports,Konami Digital Entertainment,0.0,0.0,0.48,0.0,0.48,0,637
11168,World Soccer Winning Eleven 5 Final Evolution,PS2,Sports,Konami Digital Entertainment,0.0,0.0,0.45,0.0,0.45,0,637
